name,lat,long,type,
Benedih coal dump- 2,23.782893,86.203841,2,
Benedih WB,23.782893,86.203841,3,
Benedih coal dump- 1,23.782004,86.202841,2,
KKC Main Railway Siding Tower,23.783558,86.214596,2,
KKC Main Railway Siding Entry exit,23.781264,86.215819,8,
KKC Main Railway Siding Pole 2,23.778386,86.219112,2,
KKC Main Railway Siding pole 1,23.779693,86.217595,2,
KKC Main WB,23.786141,86.209066,3,
Escape Route (To Jayramdih Basti),23.786141,86.209066,4,
Andha More Chauraha Escape route,23.779792,86.197772,4,
Nudkhurkee A Road WB ,23.780463,86.197698,4,
NKSY Coal Dump Tower-1 Near crusher,23.781179,86.196944,2,
NKSY Coal Dump Tower-2 Near Benidih B WB,23.782057,86.196904,2,
NKSY Coal Dump Tower-3 Near Temple,23.783109,86.198333,2,
Ambay workshope New kkc main WB,23.782893,86.203841,4,
Nudkhurkee feeder breaker,23.779711,86.195213,4,
Nudkhurkee feeder breaker Near crusher,23.779628,86.193645,4,
jamuniya coal dump view point ,23.77869,86.182731,6,
Matigarha Escape Route,23.783962,86.192533,4,
Lal Bangla Chauraha Near ABOCP Project office,23.788091,86.186635,4,
Basanti chowk Near Block II regional Store,23.789685,86.181818,4,
Block-II ICCC Control Room,23.807385,86.213915,1,
jamunia Coal Dump Near Entry,23.779419,86.181956,2,
jamunia Coal Dump Near Park,23.779419,86.181956,4,
jamunia Coal Dump Tower,23.77869,86.182731,2,
jamunia Coal Dump WB,23.779419,86.181956,3,
Jamunia View Point Near Shed (Container),23.77855,86.182702,4,
Kessurgarh Railway Siding Tower-I,23.766456,86.197337,2,
Kessurgarh Railway Siding Tower-II,23.766456,86.197337,2,
Kessurgarh Railway Siding check post,23.766456,86.197337,8,
Escape Route Kessurgarh Basti,23.772195,86.16905,4,
Escape Route Kessurgarh Basti pole-II,23.772658,86.196671,4,
14 No Parking Area (HEMM) Tower,23.779132,86.197101,4,
14 No Parking Area (HEMM) pole ,23.779384,86.197787,4,
Matigarha Escape Route Near madhuban washery WB,23.783962,86.192533,4,
Block-II Regional store,23.783962,86.192533,1,
RR workshop,23.783962,86.192533,9,
Magazine,23.783962,86.192533,7,
Nathkurkee B WB,23.782097,86.19640828,3,
Kessurgarh Railway Siding pole ,23.766456,86.197337,5,
Kessurgarh  WB,23.766456,86.197337,3,
Block 2 Area office,23.79487,86.21483,1,
Madhuban Washery WB 1,23.786317,86.189907,3,
Madhuban Washery WB 2,23.786608,86.189385,3,
Madhuban  Washery WB 3,23.789837,86.189271,3,
Madhuban Washery WB 4,23.782856,86.190591,3,
Madhuban Washery Sequrity Point,23.788281,86.188646,1,
Madhuban Washery Lal bangloo ,23.78825,86.188346,1,
Jamunia OCP Checkpost,23.781583,86.194315,8,
Madhuban Washery Crusher (SILO) ,23.7881,86.1882,4,
Madhuban Washery NEW Railway Siding Tower,23.803545,86.187184,2,
NMCW POLE 1 For Route Monitoring ,23.802514,86.214521,4,